dataset,target_column,rows,features,classes,class_imbalance,missing_values_count,missing_values_ratio,numeric_features,categorical_features,feature_type
mofn_3_7_10.tsv.gz,target,1324,10,2,0.15619152800722882,0,0.0,10,0,numeric
molecular_biology_promoters.tsv.gz,target,106,57,2,0.0,0,0.0,57,0,numeric
monk1.tsv.gz,target,556,6,2,0.0,0,0.0,6,0,numeric
monk2.tsv.gz,target,601,6,2,0.04944753752066024,0,0.0,6,0,numeric
monk3.tsv.gz,target,554,6,2,0.0007884893586518769,0,0.0,6,0,numeric
movement_libras.tsv.gz,target,360,90,15,0.0,0,0.0,90,0,numeric
mushroom.tsv.gz,target,8124,22,2,0.0006459455010604941,0,0.0,22,0,numeric
mux6.tsv.gz,target,128,6,2,0.0,0,0.0,6,0,numeric
new_thyroid.tsv.gz,target,215,5,3,0.1993870560663422,0,0.0,5,0,numeric
nursery.tsv.gz,target,12958,8,4,0.06756745248001182,0,0.0,8,0,numeric
optdigits.tsv.gz,target,5620,64,10,1.3234381530122451e-05,0,0.0,64,0,numeric
page_blocks.tsv.gz,target,5473,10,5,0.6101683433137823,0,0.0,10,0,numeric
parity5+5.tsv.gz,target,1124,10,2,3.957649979103632e-05,0,0.0,10,0,numeric
parity5.tsv.gz,target,32,5,2,0.0,0,0.0,5,0,numeric
pendigits.tsv.gz,target,10992,16,10,0.0001602627767925436,0,0.0,16,0,numeric
penguins.tsv.gz,target,333,7,3,0.02829856883910938,0,0.0,7,0,numeric
phoneme.tsv.gz,target,5404,5,2,0.0852958112558562,0,0.0,5,0,numeric
poker.tsv.gz,target,1025010,10,10,0.3324362254849579,0,0.0,10,0,numeric
postoperative_patient_data.tsv.gz,target,88,8,2,0.10330578512396696,0,0.0,8,0,numeric
prnn_crabs.tsv.gz,target,200,7,2,0.0,0,0.0,7,0,numeric
prnn_synth.tsv.gz,target,250,2,2,0.0,0,0.0,2,0,numeric
profb.tsv.gz,target,672,9,2,0.05555555555555555,0,0.0,9,0,numeric
ring.tsv.gz,target,7400,20,2,4.733382030679285e-05,0,0.0,20,0,numeric
saheart.tsv.gz,target,462,9,2,0.04723487191019658,0,0.0,9,0,numeric
satimage.tsv.gz,target,6435,36,6,0.02300727676019051,0,0.0,36,0,numeric
schizo.tsv.gz,target,340,14,3,0.09856978085351789,0,0.0,14,0,numeric
segmentation.tsv.gz,target,2310,19,7,0.0,0,0.0,19,0,numeric
shuttle.tsv.gz,target,58000,9,7,0.5016292138610499,0,0.0,9,0,numeric
sleep.tsv.gz,target,105908,13,5,0.11879505005116539,0,0.0,13,0,numeric
sonar.tsv.gz,target,208,60,2,0.00226516272189349,0,0.0,60,0,numeric
soybean.tsv.gz,target,675,35,18,0.03425294924554184,0,0.0,35,0,numeric
spambase.tsv.gz,target,4601,57,2,0.02245302031002494,0,0.0,57,0,numeric
spect.tsv.gz,target,267,22,2,0.17288080910098336,0,0.0,22,0,numeric
spectf.tsv.gz,target,349,44,2,0.10377993612531916,0,0.0,44,0,numeric
splice.tsv.gz,target,3188,60,3,0.051784202784700264,0,0.0,60,0,numeric
tae.tsv.gz,target,151,5,3,0.0002046693858456497,0,0.0,5,0,numeric
texture.tsv.gz,target,5500,40,11,0.0,0,0.0,40,0,numeric
threeOf9.tsv.gz,target,512,9,2,0.002471923828125,0,0.0,9,0,numeric
tic_tac_toe.tsv.gz,target,958,9,2,0.04709053743663948,0,0.0,9,0,numeric
tokyo1.tsv.gz,target,959,44,2,0.038757460467270716,0,0.0,44,0,numeric
twonorm.tsv.gz,target,7400,20,2,3.287070854638805e-07,0,0.0,20,0,numeric
vehicle.tsv.gz,target,846,18,4,0.00031995931347070553,0,0.0,18,0,numeric
vowel.tsv.gz,target,990,13,11,0.0,0,0.0,13,0,numeric
waveform_21.tsv.gz,target,5000,21,3,5.362666666666659e-05,0,0.0,21,0,numeric
waveform_40.tsv.gz,target,5000,40,3,3.858666666666635e-05,0,0.0,40,0,numeric
wine_quality_red.tsv.gz,target,1599,11,6,0.19067009908084362,0,0.0,11,0,numeric
wine_quality_white.tsv.gz,target,4898,11,7,0.18169228949089095,0,0.0,11,0,numeric
wine_recognition.tsv.gz,target,178,13,3,0.008353322391953875,0,0.0,13,0,numeric
xd6.tsv.gz,target,973,9,2,0.057165778168831824,0,0.0,9,0,numeric
yeast.tsv.gz,target,1479,8,9,0.11361586438217075,0,0.0,8,0,numeric
